/Users/romo_lab/Desktop/MUMmer3.23/ins/BG2_Chr_Complete.txt /Users/romo_lab/Desktop/MUMmer3.23/ins/NCBI_Clean.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
2610326	2614933	4608	1	4608	4608	99.48	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E03355g
1448528	1450654	2127	1	2127	2127	99.72	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C04587g
1362169	1363602	1	1437	1434	1437	99.03	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C03399g
1295569	1296435	1	867	867	867	99.77	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C02717g
3158665	3159936	1	1272	1272	1272	98.90	Nakaseomyces.glabratus.BG2.CP048230	CAGL0F01507g
4606068	4608047	1	1980	1980	1980	99.75	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G06864g
6317836	6319548	1	1713	1713	1713	99.71	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I07447g
9733414	9734304	891	1	891	891	99.89	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I04686g
11984913	11986520	1	1608	1608	1608	99.75	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M07656g
11905980	11907068	1089	1	1089	1089	99.91	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M06699g
12542311	12543234	1	924	924	924	99.68	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M13431g
11826894	11828504	1	1611	1611	1611	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M05709g
7679614	7681098	1485	1	1485	1485	99.66	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J08910g
7779095	7780318	1224	1	1224	1224	99.67	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J09966g
7662860	7665088	1	2229	2229	2229	99.37	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J08734g
6965690	6968530	1	2841	2841	2841	99.16	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J01870g
5084065	5085087	1	1023	1023	1023	99.61	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H01375g
5681530	5682921	1	1392	1392	1392	99.57	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H07403g
